GEMM_P100_processed,,,,,,,
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
SMAC4BB_gp_EI,0.744771449976953,0.169273343492086,0,25,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.706049288954562,0.169412050732242,0,25,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.693108913017443,0.221197279141009,0,25,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.752951840225058,0.154060446959734,0,25,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.822487366489733,0.085632635451153,0,50,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.795408129308785,0.105533660369601,0,50,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.736684645674408,0.161177649581965,0,50,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.810733069825647,0.103671176723123,0,50,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.853806556072076,0.060719941343231,0,100,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.846711450642542,0.051196909935455,0,100,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.861361995195266,0.087712667685668,0,100,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.876925389318084,0.060908280448603,0,100,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.889321154995985,0.038881019505676,0,200,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.870167548209965,0.034290703157537,0,200,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.8987600020752,0.035482467338386,0,200,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.904421334479281,0.028518295850818,0,200,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.912983576487661,0.033908296894335,0,392.85,3.71731368768249,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.907068201405254,0.029190525498754,0,378.9,1.65115589496379,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.908534473284926,0.033630610011338,0,396.4,3.40896650490716,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.922422982176786,0.023936484568982,0,368.75,1.37170658209707,model_type=gp, acq_func=TS
