convolution_RTX_2070_SUPER_processed,,,,,,,
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
SMAC4BB_gp_EI,0.692562721791905,0.169820651412582,0.05,25,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.707199739267259,0.188759887570602,0.05,25,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.570778458028494,0.192335241580668,0,25,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.635354995119988,0.160189753411479,0,25,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.802091375269204,0.126682426326581,0.05,50,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.859342979760288,0.169302250494985,0.1,50,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.605317949682718,0.114913513415093,0,50,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.758857072772557,0.103311106278149,0.05,50,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.85903107416215,0.124594663929093,0.15,100,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.94487406799442,0.079941330643027,0.35,100,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.754688505294113,0.091107293603709,0,100,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.789964716897452,0.121966483350833,0,100,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.884436028591651,0.094403106156238,0.1,200,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.964230645420726,0.071830664153574,0.35,200,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.809461042221346,0.079422900040769,0,200,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.858634695879482,0.077873703151081,0,200,0,model_type=gp, acq_func=TS
SMAC4BB_gp_EI,0.923291184557772,0.080640038981511,0.2,395.5,8.8049029403778,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.955182801263081,0.071400219347181,0.2,399.95,0.223606797749979,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.882040969952431,0.064048721144487,0.05,400,0,model_type=gp, acq_func=PI
SMAC4BB_gp_TS,0.936091672590129,0.072071297875511,0.1,382.8,2.74533096461304,model_type=gp, acq_func=TS
