pnpoly_GTX_1080Ti_processed,,,,,,,
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
SMAC4BB_gp_EI,0.893847001891301,0.073174322457805,0,25,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.900066409969582,0.046237856530087,0,25,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.840423174176828,0.064562965286278,0,25,0,model_type=gp, acq_func=PI
SMAC4BB_gp_EI,0.941453347228708,0.035745976073078,0,50,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.935425085788032,0.042470700555946,0,50,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.893430654602277,0.073315091789699,0,50,0,model_type=gp, acq_func=PI
SMAC4BB_gp_EI,0.957406621755623,0.020673744973351,0,100,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.959116227856657,0.016326681475356,0,100,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.916584786773111,0.049297535165782,0,100,0,model_type=gp, acq_func=PI
SMAC4BB_gp_EI,0.961266703142797,0.020933883021359,0,200,0,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.970993422556093,0.014525529726986,0,200,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.942603022251075,0.046658792340038,0.05,200,0,model_type=gp, acq_func=PI
SMAC4BB_gp_EI,0.980639719246719,0.013685955143186,0.15,398.35,3.15018796431678,model_type=gp, acq_func=EI
SMAC4BB_gp_LCB,0.983256734029928,0.012915467446508,0.15,400,0,model_type=gp, acq_func=LCB
SMAC4BB_gp_PI,0.960064906096242,0.036510105486561,0.05,400,0,model_type=gp, acq_func=PI
